id,category_name,seller_id
1,Beading & Jewelry Making,1
2,Fabric Decorating,1
3,Knitting & Crochet Supplies,1
4,Printmaking Supplies,1
5,Scrapbooking & Stamping Supplies,1
6,Sewing Products,1
7,Craft & Hobby Fabric,1
8,Needlework Supplies,1
9,"Arts, Crafts & Sewing Storage",1
10,"Painting, Drawing & Art Supplies",1
11,Craft Supplies & Materials,1
12,Gift Wrapping Supplies,1
13,Party Decorations,1
14,Automotive Paint & Paint Supplies,1
15,Heavy Duty & Commercial Vehicle Equipment,1
16,Automotive Tires & Wheels,1
17,Automotive Tools & Equipment,1
18,Automotive Performance Parts & Accessories,1
19,Car Care,1
20,Oils & Fluids,1
21,Automotive Replacement Parts,1
22,"Lights, Bulbs & Indicators",1
23,Automotive Interior Accessories,1
24,Automotive Exterior Accessories,1
25,Automotive Enthusiast Merchandise,1
26,Car Electronics & Accessories,1
27,RV Parts & Accessories,1
28,Motorcycle & Powersports,1
29,Baby Diapering Products,1
30,Baby & Toddler Feeding Supplies,1
31,Pregnancy & Maternity Products,1
32,Child Safety Car Seats & Accessories,1
33,Baby Safety Products,1
34,Toilet Training Products,1
35,Baby Care Products,1
36,Baby Travel Gear,1
38,Baby Activity & Entertainment Products,1
39,Baby Gifts,1
40,Baby Stationery,1
41,"Nursery Furniture, Bedding & Décor",1
42,Baby,1
43,Baby Boys' Clothing & Shoes,1
44,Baby Strollers & Accessories,1
45,Beauty & Personal Care,1
46,Perfumes & Fragrances,1
47,Hair Care Products,1
48,Makeup,1
49,Skin Care Products,1
50,Beauty Tools & Accessories,1
51,"Foot, Hand & Nail Care Products",1
52,Personal Care Products,1
53,Shaving & Hair Removal Products,1
54,Computer Servers,1
55,Data Storage,1
56,Computer Monitors,1
57,Computers & Tablets,1
58,Tablet Replacement Parts,1
60,Computer Networking,1
63,Computer Components,1
64,Tablet Accessories,1
65,Laptop Accessories,1
66,Computer External Components,1
68,Wearable Technology,1
69,Televisions & Video Products,1
70,GPS & Navigation,1
71,Headphones & Earbuds,1
72,Office Electronics,1
73,Portable Audio & Video,1
74,eBook Readers & Accessories,1
75,Cell Phones & Accessories,1
76,Accessories & Supplies,1
77,Video Projectors,1
78,Vehicle Electronics,1
79,Camera & Photo,1
80,Security & Surveillance Equipment,1
81,Computers,1
82,Home Audio & Theater Products,1
83,Video Game Consoles & Accessories,1
84,Boys' Clothing,1
87,Boys' Accessories,1
88,Boys' Jewelry,1
89,Boys' Watches,1
90,Boys' Shoes,1
91,Girls' Clothing,1
94,Girls' Accessories,1
95,Girls' Jewelry,1
96,Girls' Watches,1
97,Girls' Shoes,1
98,Girls' School Uniforms,1
99,Travel Duffel Bags,1
100,Messenger Bags,1
101,Travel Tote Bags,1
102,Garment Bags,1
103,Luggage Sets,1
104,Suitcases,1
105,Travel Accessories,1
106,Rain Umbrellas,1
107,Backpacks,1
108,Luggage,1
109,Laptop Bags,1
110,Men's Clothing,1
112,Men's Accessories,1
113,Men's Watches,1
114,Men's Shoes,1
116,Women's Clothing,1
118,Women's Handbags,1
120,Women's Accessories,1
121,Women's Watches,1
122,Women's Shoes,1
123,Women's Jewelry,1
124,Kids' Furniture,1
125,Gift Cards,1
126,Oral Care Products,1
127,Vision Products,1
128,Wellness & Relaxation Products,1
129,Baby & Child Care Products,1
130,Household Supplies,1
131,Health Care Products,1
132,Diet & Sports Nutrition,1
133,Home Use Medical Supplies & Equipment,1
134,Sexual Wellness Products,1
135,Health & Household,1
136,Sports Nutrition Products,1
137,Stationery & Gift Wrapping Supplies,1
138,Commercial Door Products,1
139,Power Transmission Products,1
140,Industrial Materials,1
141,Industrial Hardware,1
142,Abrasive & Finishing Products,1
143,"Industrial Adhesives, Sealants & Lubricants",1
144,Material Handling Products,1
145,"Test, Measure & Inspect",1
146,Industrial Power & Hand Tools,1
147,"Hydraulics, Pneumatics & Plumbing",1
148,Filtration,1
