asin,title,img_url,stars,review_count,price,list_price,category_id,is_best_seller,bought_in_last_month
B014TMV5YE,"Sion Softside Expandable Roller Luggage, Black, Checked-Large 29-Inch",https://m.media-amazon.com/images/I/815dLQKYIYL._AC_UL320_.jpg,4.5,0,139.99,0.0,104,0,2000
B07GDLCQXV,Luggage Sets Expandable PC+ABS Durable Suitcase Double Wheels TSA Lock Blue,https://m.media-amazon.com/images/I/81bQlm7vf6L._AC_UL320_.jpg,4.5,0,169.99,209.99,104,0,1000
B07XSCCZYG,"Platinum Elite Softside Expandable Checked Luggage, 8 Wheel Spinner Suitcase, TSA Lock, Men and Women, True Navy Blue, Checked Medium 25-Inch",https://m.media-amazon.com/images/I/71EA35zvJBL._AC_UL320_.jpg,4.6,0,365.49,429.99,104,0,300
B08MVFKGJM,"Freeform Hardside Expandable with Double Spinner Wheels, Navy, 2-Piece Set (21/28)",https://m.media-amazon.com/images/I/91k6NYLQyIL._AC_UL320_.jpg,4.6,0,291.59,354.37,104,0,400
B01DJLKZBA,"Winfield 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Deep Blue",https://m.media-amazon.com/images/I/61NJoaZcP9L._AC_UL320_.jpg,4.5,0,174.99,309.99,104,0,400
B07XSCD2R4,"Maxlite 5 Softside Expandable Luggage with 4 Spinner Wheels, Lightweight Suitcase, Men and Women, Sapphire Blue, Carry-On 21-Inch",https://m.media-amazon.com/images/I/61LnBNsSBSL._AC_UL320_.jpg,4.5,0,144.49,0.0,104,0,500
B07MXF4G8K,"Hard Shell Carry on Luggage Airline Approved, Carry on Suitcases with Wheels, Lightweight PC Luminous Textured Travel Luggage, TSA Approved, 20 Inch Small Carry-On, Black",https://m.media-amazon.com/images/I/71CghLYrnAL._AC_UL320_.jpg,4.5,0,169.99,0.0,104,0,400
B07H515VCZ,"Maxporter II 30"" Hardside Spinner Trunk Luggage, Expandable, Navy",https://m.media-amazon.com/images/I/81f3h+YHOXL._AC_UL320_.jpg,4.5,0,299.99,0.0,104,0,100
B08BXBCNMQ,"Omni 2 Hardside Expandable Luggage with Spinner Wheels, Checked-Large 28-Inch, Arctic Silver",https://m.media-amazon.com/images/I/91eOWP4mySL._AC_UL320_.jpg,4.5,0,112.63,137.04,104,0,500
B0B9K44XTS,Luggage Sets Expandable Lightweight Suitcases with Wheels PC+ABS Durable Travel Luggage TSA Lock Navy Blue 4pcs,https://m.media-amazon.com/images/I/81dsv5GrCLL._AC_UL320_.jpg,4.4,0,209.99,0.0,104,0,200
B00W66LQFO,Men's Eversoft Cotton Stay Tucked Crew T-Shirt,https://m.media-amazon.com/images/I/513fraGQXWL._AC_UL320_.jpg,4.6,0,18.48,26.0,110,1,10000
